Sr. No.,Ticker,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
258,GSPL.NS,GSPL,Gujarat State Petronet Limited,1495160
259,BLUEDART.NS,BLUEDART,Blue Dart Express Limited,1474205
260,NATIONALUM.NS,NATIONALUM,National Aluminium Company Limited,1439919
261,RVNL.NS,RVNL,Rail Vikas Nigam Limited,1430324
262,CREDITACC.NS,CREDITACC,CREDITACCESS GRAMEEN LIMITED,1429656
263,TRIDENT.NS,TRIDENT,Trident Limited,1424320
264,POWERINDIA.NS,POWERINDIA,Hitachi Energy India Limited,1416989
265,MEDANTA.NS,MEDANTA,Global Health Limited,1413200
266,GILLETTE.NS,GILLETTE,Gillette India Limited,1406411
267,RATNAMANI.NS,RATNAMANI,Ratnamani Metals & Tubes Limited,1389118
268,ELGIEQUIP.NS,ELGIEQUIP,Elgi Equipments Limited,1388537
269,ISEC.NS,ISEC,ICICI Securities Limited,1382035
270,CGCL.NS,CGCL,Capri Global Capital Limited,1362980
271,GODREJIND.NS,GODREJIND,Godrej Industries Limited,1359514
272,CLEAN.NS,CLEAN,Clean Science and Technology Limited,1346986
273,MAZDOCK.NS,MAZDOCK,Mazagon Dock Shipbuilders Limited,1337306
274,MAHINDCIE.NS,MAHINDCIE,Mahindra CIE Automotive Limited,1330803
275,AEGISCHEM.NS,AEGISCHEM,Aegis Logistics Limited,1330115
276,FACT.NS,FACT,Fertilizers and Chemicals Travancore Limited,1329086
277,BLUESTARCO.NS,BLUESTARCO,Blue Star Limited,1328313
278,SANOFI.NS,SANOFI,Sanofi India Limited,1320898
279,FINEORG.NS,FINEORG,Fine Organic Industries Limited,1320495
280,AFFLE.NS,AFFLE,Affle (India) Limited,1315321
281,GLENMARK.NS,GLENMARK,Glenmark Pharmaceuticals Limited,1311235
282,NAM-INDIA.NS,NAM-INDIA,Nippon Life India Asset Management Limited,1308980
283,SJVN.NS,SJVN,SJVN Limited,1306657
284,REDINGTON.NS,REDINGTON,Redington Limited,1302471
285,AAVAS.NS,AAVAS,Aavas Financiers Limited,1273409
286,IDFC.NS,IDFC,IDFC Limited,1256788
287,FINCABLES.NS,FINCABLES,Finolex Cables Limited,1242785
288,NUVOCO.NS,NUVOCO,Nuvoco Vistas Corporation Limited,1231832
289,BAJAJELEC.NS,BAJAJELEC,Bajaj Electricals Limited,1210481
290,APTUS.NS,APTUS,Aptus Value Housing Finance India Limited,1209715
291,SUVENPHAR.NS,SUVENPHAR,Suven Pharmaceuticals Limited,1202565
292,ASTERDM.NS,ASTERDM,Aster DM Healthcare Limited,1202328
293,RHIM.NS,RHIM,RHI MAGNESITA INDIA LIMITED,1184941
294,KEC.NS,KEC,KEC International Limited,1173223
295,SONATSOFTW.NS,SONATSOFTW,Sonata Software Limited,1172596
296,AETHER.NS,AETHER,Aether Industries Limited,1166105
297,DCMSHRIRAM.NS,DCMSHRIRAM,DCM Shriram Limited,1165513
298,IEX.NS,IEX,Indian Energy Exchange Limited,1140921
299,HAPPSTMNDS.NS,HAPPSTMNDS,Happiest Minds Technologies Limited,1127692
300,KIMS.NS,KIMS,Krishna Institute of Medical Sciences Limited,1121549
301,ALKYLAMINE.NS,ALKYLAMINE,Alkyl Amines Chemicals Limited,1101423
302,CYIENT.NS,CYIENT,Cyient Limited,1100498
303,CHAMBLFERT.NS,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,1099205
304,ASAHIINDIA.NS,ASAHIINDIA,Asahi India Glass Limited,1099131
305,CASTROLIND.NS,CASTROLIND,Castrol India Limited,1097431
306,BRIGADE.NS,BRIGADE,Brigade Enterprises Limited,1095283
307,KALYANKJIL.NS,KALYANKJIL,Kalyan Jewellers India Limited,1085161
308,TTML.NS,TTML,Tata Teleservices (Maharashtra) Limited,1084007
309,VGUARD.NS,VGUARD,V-Guard Industries Limited,1080458
310,NLCINDIA.NS,NLCINDIA,NLC India Limited,1069790
311,LAXMIMACH.NS,LAXMIMACH,Lakshmi Machine Works Limited,1066409
312,TRITURBINE.NS,TRITURBINE,Triveni Turbine Limited,1059007
313,FINPIPE.NS,FINPIPE,Finolex Industries Limited,1058534
314,AKZOINDIA.NS,AKZOINDIA,Akzo Nobel India Limited,1047678
315,MANAPPURAM.NS,MANAPPURAM,Manappuram Finance Limited,1046990
316,EIHOTEL.NS,EIHOTEL,EIH Limited,1035916
317,CENTURYPLY.NS,CENTURYPLY,Century Plyboards (India) Limited,1035770
318,NATCOPHARM.NS,NATCOPHARM,Natco Pharma Limited,1028436
319,KIOCL.NS,KIOCL,KIOCL Limited,1024364
320,CHOLAHLDNG.NS,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,1022732
321,CAMPUS.NS,CAMPUS,Campus Activewear Limited,1015519
322,CAMS.NS,CAMS,Computer Age Management Services Limited,995035
323,AMARAJABAT.NS,AMARAJABAT,Amara Raja Batteries Limited,989175
324,ZYDUSWELL.NS,ZYDUSWELL,Zydus Wellness Limited,986489
325,BASF.NS,BASF,BASF India Limited,985008
326,TEJASNET.NS,TEJASNET,Tejas Networks Limited,977791
327,APLLTD.NS,APLLTD,Alembic Pharmaceuticals Limited,975641
328,MGL.NS,MGL,Mahanagar Gas Limited,971430
329,GRINFRA.NS,GRINFRA,G R Infraprojects Limited,971338
330,ANGELONE.NS,ANGELONE,Angel One Limited,970012
331,SFL.NS,SFL,Sheela Foam Limited,969705
332,TTKPRESTIG.NS,TTKPRESTIG,TTK Prestige Limited,969120
333,APARINDS.NS,APARINDS,Apar Industries Limited,958591
334,HINDCOPPER.NS,HINDCOPPER,Hindustan Copper Limited,951068
335,CDSL.NS,CDSL,Central Depository Services (India) Limited,949644
336,GODFRYPHLP.NS,GODFRYPHLP,Godfrey Phillips India Limited,946159
337,RENUKA.NS,RENUKA,Shree Renuka Sugars Limited,938664
338,CUB.NS,CUB,City Union Bank Limited,931814
339,JKLAKSHMI.NS,JKLAKSHMI,JK Lakshmi Cement Limited,931241
340,ANURAS.NS,ANURAS,Anupam Rasayan India Limited,929945
341,MRPL.NS,MRPL,Mangalore Refinery and Petrochemicals Limited,920991
342,GESHIP.NS,GESHIP,The Great Eastern Shipping Company Limited,920206
343,POLYMED.NS,POLYMED,Poly Medicure Limited,914014
344,NSLNISP.NS,NSLNISP,NMDC Steel Limited,909953
345,BIKAJI.NS,BIKAJI,Bikaji Foods International Limited,904723
346,MOTILALOFS.NS,MOTILALOFS,Motilal Oswal Financial Services Limited,902921
347,ABSLAMC.NS,ABSLAMC,Aditya Birla Sun Life AMC Limited,896256
348,CESC.NS,CESC,CESC Limited,883493
349,TATAINVEST.NS,TATAINVEST,Tata Investment Corporation Limited,882736
350,ALLCARGO.NS,ALLCARGO,Allcargo Logistics Limited,873816
351,KALPATPOWR.NS,KALPATPOWR,Kalpataru Power Transmission Limited,867869
352,PNBHOUSING.NS,PNBHOUSING,PNB Housing Finance Limited,866321
353,HUDCO.NS,HUDCO,Housing & Urban Development Corporation Limited,865822
354,ITI.NS,ITI,ITI Limited,856044
355,ROUTE.NS,ROUTE,ROUTE MOBILE LIMITED,852912
356,RITES.NS,RITES,RITES Limited,851990
357,VTL.NS,VTL,Vardhman Textiles Limited,849166
358,RBLBANK.NS,RBLBANK,RBL Bank Limited,845961
359,HFCL.NS,HFCL,HFCL Limited,839744
360,KARURVYSYA.NS,KARURVYSYA,Karur Vysya Bank Limited,837096
361,CERA.NS,CERA,Cera Sanitaryware Limited,832773
362,EIDPARRY.NS,EIDPARRY,EID Parry India Limited,832025
363,INGERRAND.NS,INGERRAND,Ingersoll Rand (India) Limited,826750
364,GALAXYSURF.NS,GALAXYSURF,Galaxy Surfactants Limited,825883
365,PPLPHARMA.NS,PPLPHARMA,Piramal Pharma Limited,816827
366,UTIAMC.NS,UTIAMC,UTI Asset Management Company Limited,815164
367,KRBL.NS,KRBL,KRBL Limited,813978
368,RAYMOND.NS,RAYMOND,Raymond Limited,813564
369,ASTRAZEN.NS,ASTRAZEN,AstraZeneca Pharma India Limited,813200
370,VIPIND.NS,VIPIND,VIP Industries Limited,811260
371,ACI.NS,ACI,Archean Chemical Industries Limited,800398
372,BALRAMCHIN.NS,BALRAMCHIN,Balrampur Chini Mills Limited,799363
373,SUZLON.NS,SUZLON,Suzlon Energy Limited,795774
374,GODREJAGRO.NS,GODREJAGRO,Godrej Agrovet Limited,793048
375,GNFC.NS,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,791626
376,ERIS.NS,ERIS,Eris Lifesciences Limited,778012
377,PGHL.NS,PGHL,Procter & Gamble Health Limited,777855
378,MEDPLUS.NS,MEDPLUS,Medplus Health Services Limited,775129
379,SAPPHIRE.NS,SAPPHIRE,Sapphire Foods India Limited,774012
380,DATAPATTNS.NS,DATAPATTNS,Data Patterns (India) Limited,770171
381,SUNCLAYLTD.NS,SUNCLAYLTD,Sundaram Clayton Limited,762426
382,JBMA.NS,JBMA,JBM Auto Limited,761512
383,EASEMYTRIP.NS,EASEMYTRIP,Easy Trip Planners Limited,757908
384,CCL.NS,CCL,CCL Products (India) Limited,755133
385,EQUITASBNK.NS,EQUITASBNK,Equitas Small Finance Bank Limited,745185
386,CHALET.NS,CHALET,Chalet Hotels Limited,744548
387,RAINBOW.NS,RAINBOW,Rainbow Childrens Medicare Limited,741470
388,PNCINFRA.NS,PNCINFRA,PNC Infratech Limited,741142
389,FSL.NS,FSL,Firstsource Solutions Limited,735325
390,KSB.NS,KSB,Ksb Limited,729155
391,BSOFT.NS,BSOFT,BIRLASOFT LIMITED,717824
392,KNRCON.NS,KNRCON,KNR Constructions Limited,713492
393,SHOPERSTOP.NS,SHOPERSTOP,Shoppers Stop Limited,711340
394,SYMPHONY.NS,SYMPHONY,Symphony Limited,709469
