Date,Dividends
2004-08-26 00:00:00-04:00,0.35
2004-09-08 00:00:00-04:00,1.77
2004-11-22 00:00:00-05:00,0.45
2005-03-03 00:00:00-05:00,0.5
2005-06-08 00:00:00-04:00,0.45
2005-09-01 00:00:00-04:00,0.5
2005-11-25 00:00:00-05:00,0.45
2006-03-02 00:00:00-05:00,0.45
2006-06-08 00:00:00-04:00,0.5
2006-08-29 00:00:00-04:00,0.52
2006-12-05 00:00:00-05:00,0.53
2007-03-06 00:00:00-05:00,0.54
2007-06-06 00:00:00-04:00,0.55
2007-08-29 00:00:00-04:00,0.55
2007-11-23 00:00:00-05:00,0.55
2008-02-22 00:00:00-05:00,0.55
2008-06-13 00:00:00-04:00,0.56
2008-08-28 00:00:00-04:00,0.58
2008-12-19 00:00:00-05:00,0.6
2009-03-05 00:00:00-05:00,0.3
2009-05-22 00:00:00-04:00,0.3
2009-08-27 00:00:00-04:00,0.3
2009-12-04 00:00:00-05:00,0.3
2010-03-17 00:00:00-04:00,0.3
2010-05-28 00:00:00-04:00,0.33
2010-09-08 00:00:00-04:00,0.35
2010-12-06 00:00:00-05:00,0.36
2011-03-09 00:00:00-05:00,0.38
2011-06-07 00:00:00-04:00,0.39
2011-09-07 00:00:00-04:00,0.39
2011-12-09 00:00:00-05:00,0.39
2012-03-07 00:00:00-05:00,0.3
2012-06-13 00:00:00-04:00,0.39
2012-09-12 00:00:00-04:00,0.39
2012-12-18 00:00:00-05:00,0.78
2013-06-19 00:00:00-04:00,0.39
2013-09-10 00:00:00-04:00,0.39
2013-12-10 00:00:00-05:00,0.39
2014-03-10 00:00:00-04:00,0.4
2014-06-10 00:00:00-04:00,0.41
2014-09-10 00:00:00-04:00,0.41
2014-12-10 00:00:00-05:00,0.41
2015-03-06 00:00:00-05:00,0.42
2015-06-11 00:00:00-04:00,0.43
2015-09-10 00:00:00-04:00,0.44
2015-12-08 00:00:00-05:00,0.45
2016-03-14 00:00:00-04:00,0.45
2016-06-10 00:00:00-04:00,0.45
2016-09-08 00:00:00-04:00,0.45
2016-12-08 00:00:00-05:00,0.45
2017-03-14 00:00:00-04:00,0.45
2017-06-14 00:00:00-04:00,0.45
2017-09-14 00:00:00-04:00,0.35
2017-12-08 00:00:00-05:00,0.35
2018-03-16 00:00:00-04:00,0.35
2018-06-14 00:00:00-04:00,0.35
2018-09-13 00:00:00-04:00,0.35
2018-12-11 00:00:00-05:00,0.35
2019-09-11 00:00:00-04:00,0.35
2019-12-13 00:00:00-05:00,0.35
2020-03-10 00:00:00-04:00,0.35
2020-06-17 00:00:00-04:00,0.25
2020-09-16 00:00:00-04:00,0.25
2020-12-11 00:00:00-05:00,0.15
2021-03-12 00:00:00-05:00,0.15
2021-06-11 00:00:00-04:00,0.15
2021-09-14 00:00:00-04:00,0.15
2021-12-14 00:00:00-05:00,0.18
2022-03-15 00:00:00-04:00,0.2
2022-06-14 00:00:00-04:00,0.22
2022-09-14 00:00:00-04:00,0.23
2022-12-13 00:00:00-05:00,0.23
2023-03-14 00:00:00-04:00,0.24
2023-06-15 00:00:00-04:00,0.24
2023-09-13 00:00:00-04:00,0.24
